,model_number,brand,name,type,displacement
0,0E71,BMW, M1000RR,スポーツ/ツアラー,1000.0
1,0J51,BMW, R1250GS,オフロード/モタード,1250.0
2,0K11,BMW, F900R ABS,ネイキッド,900.0
3,0L11,BMW, R18 Classic,アメリカン/クルーザー,1800.0
4,1290 SUPER DUKE GT,KTM,1290 SUPER DUKE GT,ネイキッド,1290.0
5,1290SDV3949,KTM, 1290ｽｰﾊﾟｰﾃﾞｭｰｸR ,ネイキッド,1290.0
6,1JN,YAMAHA, SR500,ネイキッド,500.0
7,1JR,YAMAHA, SR4002,ネイキッド,400.0
8,1KT,YAMAHA, TZR250,スポーツ/ツアラー,250.0
9,250EXC-F,KTM, 250EXCF,オフロード/モタード,250.0
10,27V,YAMAHA, JOG,スクーター/ビッグスクーター,50.0
11,29L,YAMAHA, RZ250RR,スポーツ/ツアラー,250.0
12,2AJ-JF84,HONDA,  PCX HYBRID,スクーター/ビッグスクーター,125.0
13,2AJ-JK06,HONDA, PCX e:HEV,スクーター/ビッグスクーター,125.0
14,2BH-AA06,HONDA, ｸﾛｽｶﾌﾞ50,ネイキッド,50.0
15,2BH-AA09,HONDA, ｽｰﾊﾟｰｶﾌﾞ50,ネイキッド,50.0
16,2BH-AF77,HONDA, ｼﾞｮﾙﾉ,スクーター/ビッグスクーター,50.0
17,2BH-AF79,HONDA, ﾀｸﾄﾍﾞｰｼｯｸ,スクーター/ビッグスクーター,50.0
18,2BH-AY01,YAMAHA, JOG,スクーター/ビッグスクーター,50.0
19,2BH-AY02,YAMAHA, Vino,スクーター/ビッグスクーター,50.0
20,2BH-CA4AA,SUZUKI, ﾚｯﾂ,スクーター/ビッグスクーター,50.0
21,2BH-SA57J,YAMAHA, ｼﾞｮｸﾞ,スクーター/ビッグスクーター,50.0
22,2BH-SA58J,YAMAHA, JOG ZR,スクーター/ビッグスクーター,50.0
23,2BH-SA59J,YAMAHA, VINO,スクーター/ビッグスクーター,50.0
24,2BH-TA03,HONDA, GYRO CANOPY,スクーター/ビッグスクーター,50.0
25,2BH-TD02,HONDA, ｼﾞｬｲﾛX,スクーター/ビッグスクーター,50.0
26,2BH-UA08J,YAMAHA, GEAR,スクーター/ビッグスクーター,50.0
27,2BJ-BR125H,KAWASAKI, Z125PRO,ネイキッド,125.0
28,2BJ-CE47A,SUZUKI, ｱﾄﾞﾚｽ110,スクーター/ビッグスクーター,110.0
29,2BJ-DL32B,SUZUKI, GSXS125,ネイキッド,125.0
