,store_id,name,postal_code,address,phone
0,0,札幌店,〒007-0861,北海道札幌市東区伏古一条4-1-1,0120-65-8190
1,1,盛岡店,〒020-0836,岩手県盛岡市津志田西2-17-50 盛岡南ショッピングセンターサンサ内,019-601-8190
2,2,仙台店,〒981-3117,宮城県仙台市泉区市名坂字黒木川原54-1,022-772-8190
3,3,ラパークいわき店,〒970-8044,福島県いわき市中央台飯野4-1(ラパークいわき内),0246-38-9980
4,4,郡山店,〒963-8022,福島県郡山市西ノ内2-20-7,0120-65-8190
5,5,荒川沖店,〒300-1158,茨城県稲敷郡阿見町住吉2-8-7,029-843-8190
6,6,つくば絶版車館,〒300-2445,茨城県つくばみらい市小絹120,029-721-8190
7,7,小山店,〒323-0820,栃木県小山市西城南3-1-12,028-532-8190
8,8,インターパーク宇都宮店,〒321-0118,栃木県宇都宮市インターパーク6-2-9,028-657-8190
9,9,前橋インター店,〒370-0001,群馬県高崎市中尾町44-1 ナップス前橋インター店内,0120-65-8190
10,10,草加店,〒340-0035,埼玉県草加市西町1275-1,048-920-5260
11,11,上尾店,〒362-0001,埼玉県上尾市上257-1,048-778-0817
12,12,入間店,〒358-0012,埼玉県入間市東藤沢3-6-6,0120-65-8190
13,13,東松山店,〒355-0024,埼玉県東松山市六軒町21-14,0120-65-8190
14,14,GLOBO蘇我店,〒260-0835,千葉県千葉市中央区川崎町1-34 GLOBO内,043-265-8190
15,15,柏店,〒277-0005,千葉県柏市柏687-1,047-165-8190
16,16,HUNT 木更津店,〒292-0835,千葉県木更津市築地1-4 イオンモール木更津内,043-830-0190
17,17,市川店,〒272-0131,千葉県市川市湊新田1-3-1,0120-65-8190
18,18,八王子堀之内店,〒192-0362,東京都八王子市松木34-8,0120-65-8190
19,19,府中店,〒185-0023,東京都国分寺市西元町2-3-20,0120-65-8190
20,20,葛飾青戸店,〒125-0062,東京都葛飾区青戸4-2-7,0120-65-8190
21,21,練馬店,〒176-0014,東京都練馬区豊玉南2-16-15,0120-65-8190
22,22,Beat&C 世田谷店,〒158-0082,東京都世田谷区等々力2-6-2,03-6432-3480
23,23,荒川店,〒114-0016,東京都北区上中里3-18-5,0120-65-8190
