,id,価格,車両名,メーカー,型式番号,モデル年,排気量,色,タイプ,走行距離,保証期間,初年度登録年月,次回車検,入荷日,在庫店舗,店舗在庫,備考
0,2100005677592,600000,YAMAHA SR400-4 ヤマハ魂を伝承し続ける伝統とモダンを融合させた人気のシングル車！嬉しいフルノーマルワンオーナー車☆,YAMAHA,EBL-RH03J,2017,400,緑/銀,ネイキッド,13401,3,2018-08,-,2023-07-25,京都伏見店,0120-37-8190,[]
1,2100005840750,998000,Triumph タイガー８００ＸＣｘ,Triumph,SMTTRE,2017,800,ﾏｯﾄｼﾙﾊﾞｰ,オフロード/モタード,12565,3,2017-12,2025-04-20,-,秦野店,0120-37-8190,"['２０１７年モデル', 'ＬＥＤフォグ']"
2,2100005912075,378000,HONDA スーパーカブＣ１２５,HONDA,2BJ-JA48,2019,125,水色,ネイキッド,3503,1,-,-,2023-09-05,世田谷本店,0120-37-8190,['スマートキー・シートカスタム']
3,2100005133500,678000,HONDA HORNET S,HONDA,BC-PC34,2001,600,ブラック,ネイキッド,24462,1ヶ月,2001-09,-,2023-04-28,つくば絶版車館,029-721-8190,"['逆輸入', 'TSRスリップオンサイレンサー装備']"
4,2100005944168,798000,HONDA モンキー,HONDA,JBH-AB27,2017,50,パールサンビームホワイト,ネイキッド,2,3ヶ月,-,-,-,HUNT 木更津店,0120-37-8190,"['２０１７年モデル', '５０周年記念', 'フルノーマル']"
5,2100006186987,188000,YAMAHA 【スピード納車】VINO,YAMAHA,2BH-AY02,2018,50,グラファイトブラック,スクーター/ビッグスクーター,989,1,-,-,2023-10-21,綾瀬店,0120-37-8190,['2018年モデル']
6,2100006242744,98000,SUZUKI レッツ,SUZUKI,JBH-CA4AA,2015,50,-,スクーター/ビッグスクーター,4507,3ヶ月,-,-,2023-10-30,府中店,0120-37-8190,"['フロントバスケット', 'トップケース']"
7,2100004361782,538000,HONDA 【マル得】レブル２５０,HONDA,2BK-MC49,2017,250,グレー,アメリカン/クルーザー,2120,3,-,-,2023-09-15,イオンモール鈴鹿店,0120-37-8190,['★２０１７年モデル／ギアポジションインジケーター／フロントウィンカーカスタム★']
8,2100006209143,1398000,HONDA ＣＢ４００Ｓボルドール,HONDA,2BL-NC42,2019,400,赤/白,スポーツ/ツアラー,214,5,2023-02,2026-02-06,2023-10-24,GLOBO蘇我店,0120-37-8190,"['ＡＢＳ', '２０１９年モデル']"
9,2100001212704,798000,HONDA NSR50 社外チャンバー/120㎞メーター装備,HONDA,A-AC10,1999,50,ヘレスブルーメタリック,スポーツ/ツアラー,減算車,1ヶ月,-,-,-,つくば絶版車館,029-721-8190,[]
10,2100006021226,1980000,Harley-Davidson FLSTSC1450,Harley-Davidson,BRY,2006,1450,黒,アメリカン/クルーザー,23220,3ヶ月,2006-07,2024-01-15,2023-09-23,小山店,0120-37-8190,"['2006年モデル', 'キャブレター', 'S&Sエアクリ', 'エンジンガード装備']"
11,2100006264166,728000,KAWASAKI W800,KAWASAKI,EBL-EJ800A,2011,800,オレンジ,ネイキッド,25903,3ヶ月,2011-06,2025-02-21,2023-11-03,神戸伊川谷店,0120-37-8190,['ビキニカウル・BEET製フルエキマフラー・サイドバッグ装備!']
12,2100005723657,1888000,KAWASAKI ニンジャZX-14R,KAWASAKI,ZXT40E,2014,1400,白,スポーツ/ツアラー,1803,1,2014-04,-,2023-08-03,岡山店,0120-37-8190,['アルティメットスポーツらしき雄々しき見た目と乗り易さを兼ね備えたフラグシップモデル！ゴージャスなオーリンズエディション!']
13,2100006022421,1098000,HONDA レブル1100,HONDA,8BL-SC83,2021,1100,黒,ネイキッド,1399,7,2023-02,2026-02-26,2023-09-23,名古屋みなと店,0120-37-8190,['グリップヒーター装備']
14,2100006029512,1158000,KTM 1290スーパーデュークR 2018年モデルスペアキーありABS搭載,KTM,1290SDV3949,2018,1290,白/オレンジ,ネイキッド,12705,3,2018-10,-,-,伊丹店,0120-37-8190,[]
15,2100006249521,498000,HONDA レブル250 ABS,HONDA,2BK-MC49,2019,250,黒,アメリカン/クルーザー,1400,5,-,-,-,北九州店,0120-37-8190,"['サイドバック・サポート', '2019年モデル', 'インジェクション']"
16,2100006276237,528000,Husqvarna スヴァルトピレン４０１,Husqvarna,JUJ42,2021,390,黒,ネイキッド,5688,5,2022-03,2025-02-28,2023-11-05,世田谷本店,0120-37-8190,"['メーターバイザー装備', 'ワンオーナー車']"
17,2100005680219,418000,HONDA 【11月末まで限定価格】【マル得】CT125ハンターカブ,HONDA,2BJ-JA55,2020,125,-,ネイキッド,4306,1,-,-,-,京都松井山手店,0120-37-8190,"['2020年モデル', 'リアボックス装備']"
18,2100005668231,748000,HONDA CB400スーパーボルドール,HONDA,BC-NC39,2008,400,赤白,スポーツ/ツアラー,27468,3ヶ月,2008-08,2024-05-16,-,豊橋店,0120-37-8190,"['モリワキ製マフラー', 'リアキャリア', 'リアボックス装備']"
19,2100005999625,2680000,Harley-Davidson Fat Boy 114 [ FLFBS1870 ],Harley-Davidson,YGK,2018,1870,-,アメリカン/クルーザー,434,5,2018-12,-,2023-09-19,草加店,0120-37-8190,[]
20,2100006078954,498000,HONDA レブル２５０,HONDA,2BK-MC49,2019,250,-,アメリカン/クルーザー,13428,3,-,-,2023-10-02,GLOBO蘇我店,0120-37-8190,"['フォークカバー', 'フォークブーツ']"
21,2100005912556,468000,YAMAHA YZF-R3,YAMAHA,2BL-RH13J,2018,320,黒,スポーツ/ツアラー,15968,3,2019-01,2024-01-25,-,神戸伊川谷店,0120-37-8190,['グリップカスタム！250CC並みの軽さと400CC並みのパワーを兼ね備えてます!']
22,2100006154054,1778000,Harley-Davidson Softail Standard [ FXST1750 ],Harley-Davidson,8BL-STJ,2021,1750,ビビッドブラック,アメリカン/クルーザー,3526,7,2021-02,2024-02-14,-,Beat&C 福岡マリナ店,0120-37-8190,"['ノーマル車', 'キー付きガスキャップ']"
