,id,価格,車両名,メーカー,型式番号,モデル年,排気量,色,タイプ,走行距離,保証期間,在庫店舗,店舗在庫
0,2100006155617,118000, ﾄｩﾃﾞｲ,HONDA,JBH-AF67,2012,50,黒,スクーター/ビッグスクーター,2742,3,京都店,0120-37-8190
1,2100004366077,1378000, CB400SFV4ABS,HONDA,EBL-NC42,2019,400,黒,ネイキッド,776,5,仙台店,0120-37-8190
2,2100005457217,348000, Z250,KAWASAKI,JBK-ER250C,2013,250,白,ネイキッド,11979,1,りんくうシークル店,0120-37-8190
3,2100005410007,578000, YZFR3 Monster Energy Yamaha MotoGP Edition,YAMAHA,EBL-RH07J,2020,320,黒,スポーツ/ツアラー,4500,5,金沢店,0120-37-8190
4,2100005346689,568000, SVARTPILEN 250 2021ﾓﾃﾞﾙ/ﾊﾞｰｴﾝﾄﾞﾐﾗｰ,Husqvarna,JUE4,2021,250,黒,ネイキッド,5688,5,Husqvarna Motorcycles いわき店,0120-37-8190
5,2100006212112,788000, W800,KAWASAKI,EBL-EJ800A,2014,800,ネイビー,ネイキッド,減算車,3,上尾店,0120-37-8190
6,2100005940696,598000, MT07ABS,YAMAHA,EBL-RM07J,2014,700,マットグレーＭ,ネイキッド,16450,1,藤沢店,0120-37-8190
7,2100005410144,458000, YZFR25,YAMAHA,JBK-RG10J,2019,250,青,スポーツ/ツアラー,27167,1,金沢店,0120-37-8190
8,2100005839150,1358000, ﾒｸﾞﾛK3,KAWASAKI,2BL-EJ800B,2022,800,-,ネイキッド,3327,7,GLOBO蘇我店,0120-37-8190
9,2100006257687,598000, ｾﾛｰ250,YAMAHA,JBK-DG17J,2017,250,茶色,オフロード/モタード,1417,3,熊本店,0120-37-8190
10,2100005566087,628000, NS1,HONDA,A-AC12,1993,50,ロスホワイト×ファイティングレッド,スポーツ/ツアラー,4330,1,つくば絶版車館,029-721-8190
11,2100005943543,204000, VINO,YAMAHA,BB-SA10J,2018,50,黒,スクーター/ビッグスクーター,1468,1,神戸伊川谷店,0120-37-8190
