,id,価格,型式番号,モデル年,色,走行距離,保証期間,店舗id
0,2100006155617,118000,JBH-AF67,2012,黒,2742,3,51
1,2100004366077,1378000,EBL-NC42,2019,黒,776,5,2
2,2100005457217,348000,JBK-ER250C,2013,白,11979,1,58
3,2100005410007,578000,EBL-RH07J,2020,黒,4500,5,37
4,2100005346689,568000,JUE4,2021,黒,5688,5,81
5,2100006212112,788000,EBL-EJ800A,2014,青,,3,11
6,2100005940696,598000,EBL-RM07J,2014,銀,16450,1,34
7,2100005410144,458000,JBK-RG10J,2019,青,27167,1,37
8,2100005839150,1358000,2BL-EJ800B,2022,,3327,7,14
9,2100006257687,598000,JBK-DG17J,2017,茶,1417,3,78
10,2100005566087,628000,A-AC12,1993,赤,4330,1,6
11,2100005943543,204000,BB-SA10J,2018,黒,1468,1,62
12,2100005724951,515000,ER650A,2013,緑,17306,1,72
13,2100005658669,239000,2BH-AA09,2018,緑,66,1,66
14,2100005885829,328000,2BJ-JA44,2019,赤,1034,1,7
15,2100006021950,2548000,EBL-FD8,2017,黒,3137,3,77
16,2100005754453,298000,2BJ-DL33B,2021,黒,16234,3,9
17,2100006180909,338000,2BK-SG52J,2018,黒,2972,5,16
18,2100005890151,498000,EBL-NC47,2013,赤,22007,1,5
19,2100006302905,348000,JBK-EX250L,2014,,7300,1,10
20,2100004863958,838000,BC-EJ650A,2005,青,26929,3,35
21,2100004028838,499000,2BJ-JA55,2020,赤,113,1,44
22,2100004464841,828000,SC50,2002,黄,18764,1,35
23,2100005006088,390500,BJHD1,2022,黒,0,7,49
24,2100006147780,728000,2BL-RH16J,2021,青,3898,7,46
25,2100005878821,1568000,2BL-DHJ1200,2023,黒,1979,7,34
26,2100006243147,556000,ZXT00C,2004,緑,35873,3,67
27,2100005087742,698000,2BL-PC60,2017,銀,416,3,26
28,2100004026032,778000,2BL-NC59,2021,,2153,7,25
29,2100006195934,200000,JBH-AA01,2008,黒,4861,3,5
30,2100006111866,1713640,2BL-ZR900C,2018,緑,1827,5,80
