,id,cost,model_number,model_year,color,mileage,guarantee_period,store_id
0,2100006155617,118000,JBH-AF67,2012.0,黒,2742.0,3,51
1,2100004366077,1378000,EBL-NC42,2019.0,黒,776.0,5,2
3,2100005410007,578000,EBL-RH07J,2020.0,黒,4500.0,5,37
4,2100005346689,568000,JUE4,2021.0,黒,5688.0,5,81
6,2100005940696,598000,EBL-RM07J,2014.0,銀,16450.0,1,34
7,2100005410144,458000,JBK-RG10J,2019.0,青,27167.0,1,37
9,2100006257687,598000,JBK-DG17J,2017.0,茶,1417.0,3,78
10,2100005566087,628000,A-AC12,1993.0,赤,4330.0,1,6
12,2100005724951,515000,ER650A,2013.0,緑,17306.0,1,72
13,2100005658669,239000,2BH-AA09,2018.0,緑,66.0,1,66
14,2100005885829,328000,2BJ-JA44,2019.0,赤,1034.0,1,7
15,2100006021950,2548000,EBL-FD8,2017.0,黒,3137.0,3,77
16,2100005754453,298000,2BJ-DL33B,2021.0,黒,16234.0,3,9
17,2100006180909,338000,2BK-SG52J,2018.0,黒,2972.0,5,16
18,2100005890151,498000,EBL-NC47,2013.0,赤,22007.0,1,5
20,2100004863958,838000,BC-EJ650A,2005.0,青,26929.0,3,35
21,2100004028838,499000,2BJ-JA55,2020.0,赤,113.0,1,44
22,2100004464841,828000,SC50,2002.0,黄,18764.0,1,35
23,2100005006088,390500,BJHD1,2022.0,黒,0.0,7,49
24,2100006147780,728000,2BL-RH16J,2021.0,青,3898.0,7,46
25,2100005878821,1568000,2BL-DHJ1200,2023.0,黒,1979.0,7,34
26,2100006243147,556000,ZXT00C,2004.0,緑,35873.0,3,67
27,2100005087742,698000,2BL-PC60,2017.0,銀,416.0,3,26
30,2100006111866,1713640,2BL-ZR900C,2018.0,緑,1827.0,5,80
31,2100006078046,798000,BC-EJ650A,2007.0,黒,27156.0,3,9
34,2100005575324,328000,2BK-SG50J,2017.0,赤,6265.0,3,59
36,2100005334266,2048000,2BL-XL3,2020.0,黒,4009.0,5,53
37,2100005793544,1110000,8BL-ER650M,2023.0,緑,903.0,7,50
38,2100006182521,258000,JBK-KF18,2018.0,白,7945.0,3,44
39,2100005668392,118000,JBH-AF67,2012.0,黒,3771.0,3,37
40,2100005660686,1528000,8BL-RH4,2021.0,茶,1150.0,7,54
41,2100006213539,728000,2BL-RH16J,2021.0,銀,2343.0,7,71
43,2100006153385,119800,JBH-AF79,2021.0,黒,6298.0,3,63
44,2100005899932,678000,EBL-CP52A,2013.0,銀,15804.0,1,61
45,2100005547918,568000,2BK-MD44,2017.0,黒,12538.0,3,7
46,2100006288551,1388000,2BL-NC42,2019.0,青,3545.0,5,72
47,2100006095340,388000,EBL-EX400E,2014.0,黒,21019.0,1,72
48,2100006076943,398000,JBK-RG10J,2017.0,銀,10732.0,3,37
49,2100005393225,498000,390DUKEJPJ42,2020.0,オレンジ,7724.0,5,82
51,2100005951531,898000,BC-RC42,2008.0,赤,37956.0,3,15
52,2100004845275,648000,2BL-NC56,2019.0,赤,6494.0,5,10
53,2100006104127,408000,ED22B,2022.0,黒,5611.0,5,76
54,2100005846851,2178000,BF5,2015.0,黒,18404.0,1,44
56,2100005677745,888000,2BL-NC42,2014.0,青,5857.0,1,74
57,2100006191127,1358000,EBL-SC54,2014.0,黒,20267.0,1,9
58,2100005898690,2980000,EBL-FLN,2016.0,赤,17738.0,3,48
59,2100005991568,600000,BC-VN900B,2007.0,黒,21919.0,3,8
60,2100005552462,338000,2BJ-JC79,2018.0,赤,8530.0,3,79
61,2100005227834,558000,EBL-RC63,2012.0,赤,9840.0,3,36
62,2100005904469,1988000,YNJ,2018.0,黒,651.0,5,2
63,2100005185097,568000,2BL-DU11A,2019.0,青,6038.0,5,33
64,2100005694636,280000,BC-CK44A,2008.0,白,10947.0,3,44
65,2100006073997,1428000,2BL-ZR900C,2018.0,緑,10580.0,3,60
